,psi_ref_hpa,psi_gypsum_hpa,psi_vg_hpa,theta_pct,temp_c,precip_mm,rad_wm2,temp_aire_c
2016-05-25 01:00:00,260.53829666666667,274.75,441.5072221706919,19.36388153326797,9.605,0.0,0,11.3
2016-05-25 01:30:00,259.5988066666667,274.625,441.45258959509465,19.36678267612512,9.434999999999999,0.0,0,11.1
2016-05-25 02:00:00,258.39741333333336,274.5,441.50795395468367,19.36384267612512,9.35,0.0,0,11.0
2016-05-25 02:30:00,257.67794333333336,273.5,441.5625939489127,19.360941533267976,9.265,0.0,0,10.9
2016-05-25 03:00:00,256.79578,272.5,441.6177741072341,19.358012104696545,9.18,0.0,0,10.8
2016-05-25 03:30:00,255.6165333333333,272.75,441.6164877588658,19.358080390410837,9.01,0.0,0,10.6
2016-05-25 04:00:00,254.45501333333337,273.0,441.5073297859024,19.363875818982255,8.924999999999999,0.0,0,10.5
2016-05-25 04:30:00,254.35856333333336,270.25,441.5072221706919,19.36388153326797,8.84,0.0,0,10.4
2016-05-25 05:00:00,253.26693333333333,267.5,441.67247727301225,19.35510839041083,8.84,0.0,10,10.4
2016-05-25 05:30:00,252.25149666666664,267.625,441.5625508969899,19.36094381898226,8.84,0.0,15,10.4
2016-05-25 06:00:00,252.06597,267.75,441.5072221706919,19.36388153326797,8.84,0.0,27,10.4
2016-05-25 06:30:00,251.04550333333336,266.625,441.39758778379,19.36970381898226,8.924999999999999,0.0,57,10.5
2016-05-25 07:00:00,250.27998666666667,265.5,441.17735892814886,19.381404104696543,9.01,0.0,70,10.6
2016-05-25 07:30:00,249.38308333333336,265.75,441.0828298781533,19.38642816551045,9.094999999999999,0.0,93,10.7
2016-05-25 08:00:00,248.2334833333333,266.0,440.9533267286712,19.393312927729472,9.265,0.0,115,10.9
2016-05-25 08:30:00,247.86993,264.75,440.9536330163939,19.393296642015184,9.434999999999999,0.0,138,11.1
2016-05-25 09:00:00,246.98341333333337,263.5,441.10271827379006,19.385371034023283,9.605,0.0,193,11.3
2016-05-25 09:30:00,246.20839333333333,263.25,441.3976846114491,19.36969867612512,9.775,0.0,220,11.5
2016-05-25 10:00:00,245.27743666666663,263.0,441.2332613167673,19.378433533267977,10.115,0.0,197,11.9
2016-05-25 10:30:00,244.53422333333336,263.5,441.3420931774725,19.372651533267977,10.285,0.0,205,12.1
2016-05-25 11:00:00,244.0679433333333,264.0,441.3692037995076,19.3712114447185,10.37,0.0,250,12.2
2016-05-25 11:30:00,242.48236333333335,262.75,441.6704969361673,19.355213502432687,10.455,0.0,206,12.3
2016-05-25 12:00:00,242.3259233333333,261.5,441.56035583574175,19.361060359575543,10.54,0.0,213,12.4
2016-05-25 12:30:00,241.25814,260.25,441.50518344852793,19.363989788146974,10.709999999999999,0.0,243,12.6
2016-05-25 13:00:00,240.86995666666664,259.0,441.5601997734001,19.36106864528983,10.709999999999999,0.0,218,12.6
2016-05-25 13:30:00,240.3997466666667,258.5,441.81547431818586,19.34751976534816,10.965,0.0,301,12.9
2016-05-25 14:00:00,240.31771,258.0,441.668761529674,19.355305614498143,11.305,0.0,302,13.3
2016-05-25 14:30:00,239.44313,258.125,441.6690629717804,19.35528961449814,11.559999999999999,0.0,309,13.6
2016-05-25 15:00:00,238.54208000000003,258.25,441.668831507286,19.355301900212424,11.475,0.0,211,13.5
2016-05-25 15:30:00,238.22880333333333,259.5,441.7236545853877,19.35239218592671,11.73,0.0,194,13.8
2016-05-25 16:00:00,238.05926,260.75,441.7415937083449,19.35144015874863,11.73,0.0,171,13.8
2016-05-25 16:30:00,237.7607233333333,259.125,441.6136067606547,19.358233328783854,12.069999999999999,0.0,187,14.2
2016-05-25 17:00:00,237.79158666666663,257.5,441.5591913310442,19.36112218592671,11.985,0.0,148,14.1
2016-05-25 17:30:00,238.54838000000004,256.25,441.4492578349437,19.36695961449814,11.9,0.0,92,14.0
2016-05-25 18:00:00,238.7690633333333,255.0,441.5775537492945,19.36014730160577,11.9,0.0,65,14.0
2016-05-25 18:30:00,239.43416666666667,254.125,441.63278975732817,19.357215015891484,11.815,0.0,45,13.9
2016-05-25 19:00:00,239.53331333333333,253.25,441.6873226787783,19.35432044446291,11.73,0.0,31,13.8
2016-05-25 19:30:00,240.38552,254.125,441.3582013317226,19.37179587303434,11.559999999999999,0.0,15,13.6
2016-05-25 20:00:00,240.9455966666667,255.0,441.467739048637,19.36597815874863,11.39,0.0,0,13.4
2016-05-25 20:30:00,241.38751666666667,254.25,441.7968035032363,19.348510444462917,11.219999999999999,0.0,0,13.2
2016-05-25 21:00:00,241.85243,253.5,441.57741382542713,19.3601547301772,10.965,0.0,0,12.9
2016-05-25 21:30:00,242.35984,254.0,441.631966248273,19.3572587301772,10.709999999999999,0.0,0,12.6
2016-05-25 22:00:00,243.13723,254.5,441.68699969062527,19.354337587320057,10.455,0.0,0,12.3
2016-05-25 22:30:00,242.75698666666668,255.75,441.74194904295086,19.35142130160577,10.37,0.0,0,12.2
2016-05-25 23:00:00,243.1832433333333,257.0,442.07189800896793,19.333918444462917,10.37,0.0,0,12.2
2016-05-25 23:30:00,244.39894666666663,257.75,441.79649119740645,19.348527015891484,10.285,0.0,0,12.1
2016-05-26 00:00:00,244.20563666666663,258.5,441.8892722076026,19.343604471640997,10.285,0.0,0,12.1
2016-05-26 00:30:00,245.15249666666668,259.875,441.7970184880245,19.34849903704616,10.2,0.0,0,12.0
2016-05-26 01:00:00,245.3574933333333,261.25,441.5047422286676,19.3640132167184,9.69,0.0,0,11.4
2016-05-26 01:30:00,246.0472566666667,260.625,441.3953720930914,19.36982150243269,8.924999999999999,0.0,0,10.5
2016-05-26 02:00:00,246.4143233333333,260.0,441.6698725184253,19.35524664528983,8.415000000000001,0.0,0,9.9
2016-05-26 02:30:00,247.3121,258.5,441.8352043921288,19.346472931004115,8.075,0.0,0,9.5
2016-05-26 03:00:00,247.58403,257.0,441.7796609441987,19.34942007386126,7.6499999999999995,0.0,0,9.0
2016-05-26 03:30:00,248.17934333333332,256.625,441.0893265857501,19.386082839179995,7.565,0.0,0,8.9
2016-05-26 04:00:00,248.92172,256.25,440.8786685739833,19.397282962125505,7.905,0.0,0,9.3
2016-05-26 04:30:00,249.7277633333333,258.0,440.7141262821336,19.40603524783979,7.819999999999999,0.0,0,9.2
2016-05-26 05:00:00,249.03807,259.75,440.8243348555291,19.40017267641122,7.905,0.0,23,9.3
2016-05-26 05:30:00,250.41600666666668,258.5,440.659051909838,19.40896553355408,8.16,0.0,44,9.6
2016-05-26 06:00:00,250.07400666666663,257.25,440.6585740152619,19.408990962125507,8.924999999999999,0.0,99,10.5
2016-05-26 06:30:00,250.31627666666668,257.5,440.5494192417378,19.414799819268364,9.69,0.0,168,11.4
2016-05-26 07:00:00,249.88149,257.75,440.6046399450136,19.411860962125505,10.2,0.0,214,12.0
2016-05-26 07:30:00,249.6771233333333,259.125,440.71337980733966,19.406074962125505,10.88,0.0,253,12.8
2016-05-26 08:00:00,248.72810666666663,260.5,440.5494192417378,19.414799819268364,11.475,0.0,372,13.5
2016-05-26 08:30:00,248.0149366666667,260.375,440.8695270163632,19.39776912489428,12.41,0.0,532,14.6
2016-05-26 09:00:00,246.7810466666667,260.25,441.5601997734001,19.36106864528983,13.26,0.0,623,15.6
2016-05-26 09:30:00,245.4624233333333,263.125,441.2302829675916,19.378591788146974,13.6,0.0,542,16.0
2016-05-26 10:00:00,244.52207,266.0,440.6834037981962,19.407669818982264,15.87500023841858,0.0,787,16.4
2016-05-26 10:30:00,242.9673233333333,263.625,440.5188969760638,19.416424390410832,16.049999713897705,0.0,696,17.2
2016-05-26 11:00:00,242.20512666666664,261.25,440.1912986795845,19.433868676125115,16.375000238418583,0.0,702,17.3
2016-05-26 11:30:00,241.09725333333336,262.875,439.91838255825945,19.44841181898226,16.72500038146973,0.0,566,17.7
2016-05-26 12:00:00,241.01349,264.5,439.8643473403879,19.45129239041083,16.999999523162842,0.0,393,17.5
2016-05-26 12:30:00,239.40837,263.375,439.7009288954746,19.460006390410832,17.250000476837158,0.0,460,17.5
2016-05-26 13:00:00,240.38573666666665,262.25,439.609930643128,19.46486021073859,17.499999523162842,0.0,776,18.6
2016-05-26 13:30:00,239.38657666666668,261.25,439.5733323882112,19.466812653326308,17.77500057220459,0.0,387,18.3
2016-05-26 14:00:00,239.17023666666665,260.25,439.5924652747594,19.46579193104771,18.024999618530277,0.0,460,18.5
2016-05-26 14:30:00,239.0862833333333,262.125,439.19406888320646,19.48705579618345,18.25000047683716,0.0,460,18.9
2016-05-26 15:00:00,239.7721033333333,264.0,439.5577999000721,19.46764133244105,18.47499990463257,0.0,462,18.7
2016-05-26 15:30:00,239.9996933333333,262.75,439.0137403879936,19.49668733244106,18.650000095367428,0.0,469,19.0
